n,nnz,npuf,nsyn,wt.pufmin,wt.pufmdn,wt.pufmax,MARS,XTOT,EIC,f6251,f2441,DSI,MIDR,n24,FDED,e00200,e01700,e01500,e02400,e02000,e26270,e19200,p23250,e00900,e18400,e01400,e00600,e00650,e18500,e19800,e17500,e20400,e00300,e02300,e00400,e20100,e09600,e87521,e00700,e03270,e03300,e32800,e87530,e07300,e62900,e24515,e03150,e03210,e03240,e00800,e03500,e09900,e27200,e03230,e24518,e03290,e07400,e58990,e01100,e11200,e07260,e07240,e03220,e07600,e03400,p08000,e09700,e09800,e02100,p22250,e01200,rownum
3,6,1,2,1448.09,1448.09,1448.09,1,1,0,0,0,0,0,0,2,27300,8740,8740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,5,3,6,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,28300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,5,2,7,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,32900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,5,2,6,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,22800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,5,1,6,1428.12,1428.12,1428.12,1,1,0,0,0,0,0,0,2,31400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,5
7,5,1,6,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,5,2,5,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,5,1,6,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,30500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7,5,1,6,1451.65,1451.65,1451.65,1,2,0,0,0,0,0,1,2,34400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
6,5,1,5,1428.12,1428.12,1428.12,1,2,0,0,0,0,0,1,2,11900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
